Age,Work-class,Fnlwgt,Education,Education-num,Marital-stat,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-Country,"<=50k, >50k"
38,3,65324,11,15,2,4,2,1,1,0,0,40,1,1
56,2,335605,2,9,2,5,2,1,1,0,1887,50,5,1
28,3,377869,6,10,2,6,3,1,0,4064,0,25,1,0
36,3,102864,2,9,1,10,4,1,0,0,0,40,1,0
53,3,95647,5,5,2,3,2,1,1,0,0,50,1,0
56,7,303090,6,10,2,6,2,1,1,0,0,50,1,0
49,5,197371,8,11,2,7,2,2,1,0,0,40,1,1
55,3,247552,6,10,2,6,2,1,1,0,0,56,1,0
22,3,102632,2,9,1,7,1,1,1,0,0,41,1,0
21,3,199915,6,10,1,5,4,1,0,0,0,40,1,0
40,3,118853,1,13,2,2,2,1,1,0,0,60,1,0
30,3,77143,1,13,1,2,4,2,1,0,0,40,6,0
29,1,267989,1,13,2,4,2,1,1,0,0,50,1,1
19,3,301606,6,10,1,5,4,2,1,0,0,35,1,0
47,3,287828,1,13,2,2,3,1,0,0,0,40,1,1
20,3,111697,6,10,1,1,4,1,0,0,1719,28,1,0
31,3,114937,7,12,2,1,2,1,1,0,0,40,1,1
35,6,129305,2,9,2, ,2,1,1,0,0,40,1,0
39,3,365739,6,10,3,7,1,1,1,0,0,40,1,0
28,3,69621,7,12,1,6,1,1,0,0,0,60,1,0
24,3,43323,2,9,1,5,1,1,0,0,1762,40,1,0
38,2,120985,2,9,2,7,2,1,1,4386,0,35,1,0
37,3,254202,1,13,2,6,2,1,1,0,0,50,1,0
46,3,146195,7,12,3,12,1,2,0,0,0,36,1,0
38,4,125933,4,14,2,4,2,1,1,0,0,40,14,1
43,2,56920,2,9,2,7,2,1,1,0,0,60,1,0
27,3,163127,8,11,2,1,3,1,0,0,0,35,1,0
20,3,34310,6,10,1,6,4,1,1,0,0,20,1,0
49,3,81973,6,10,2,7,2,3,1,0,0,40,1,1
61,7,66614,2,9,2,7,2,1,1,0,0,40,1,0
27,3,232782,6,10,1,6,4,1,0,0,0,40,1,0
19,3,316868,6,10,1,5,4,1,1,0,0,30,21,0
45,3,196584,8,11,1,4,1,1,0,0,1564,40,1,1
70,3,105376,6,10,1,12,6,1,1,0,0,40,1,0
31,3,185814,2,9,1,8,5,2,0,0,0,30,1,0
22,3,175374,6,10,2,5,2,1,1,0,0,24,1,0
36,3,108293,2,9,5,5,5,1,0,0,0,24,1,0
64,3,181232,3,7,2,7,2,1,1,0,2179,40,1,0
43,6,174662,6,10,3, ,1,1,0,0,0,40,1,0
47,5,186009,6,10,3,1,5,1,0,0,0,38,21,0
34,3,198183,2,9,1,1,1,1,0,0,0,40,1,0
33,3,163003,1,13,1,2,6,3,0,0,0,40,16,0
21,3,296158,2,9,1,7,4,1,1,0,0,35,1,0
52,6,252903,2,9,3, ,1,1,1,0,0,45,1,1
48,3,187715,2,9,2,7,2,1,1,0,0,46,1,0
23,3,214542,1,13,1,3,1,1,1,0,0,40,1,0
71,2,494223,6,10,6,6,5,2,1,0,1816,2,1,0
29,3,191535,2,9,3,7,1,1,1,0,0,60,1,0
42,3,228456,1,13,6,5,6,2,1,0,0,50,1,0
68,6,38317,16,2,3, ,1,1,0,0,0,20,1,0
25,3,252752,2,9,1,5,5,1,0,0,0,40,1,0
44,7,78374,4,14,3,2,5,3,0,0,0,40,1,0
28,3,88419,2,9,1,2,1,3,0,0,0,40,3,0
45,2,201080,4,14,2,6,2,1,1,0,0,40,1,1
36,3,207157,6,10,3,5,5,1,0,0,0,40,21,0
39,4,235485,7,12,1,2,1,1,1,0,0,42,1,0
46,1,102628,4,14,5,11,5,1,1,0,0,40,1,0
18,3,25828,3,7,1,3,4,1,1,0,0,16,1,0
66,5,54826,8,11,5,4,1,1,0,0,0,20,1,0
27,3,124953,2,9,1,5,1,1,1,0,1980,40,1,0
28,1,175325,2,9,2,11,2,1,1,0,0,40,1,0
51,3,96062,6,10,2,6,2,1,1,0,1977,40,1,1
27,3,428030,1,13,1,7,1,1,1,0,0,50,1,0
28,1,149624,1,13,2,4,2,1,1,0,0,40,1,1
27,3,253814,2,9,4,6,5,1,0,0,0,25,1,0
21,3,312956,2,9,1,7,4,2,1,0,0,40,1,0
34,3,483777,2,9,1,3,1,2,1,0,0,40,1,0
18,3,183930,2,9,1,5,4,1,1,0,0,12,1,0
33,3,37274,1,13,2,4,2,1,1,0,0,65,1,0
44,5,181344,6,10,2,2,2,2,1,0,0,38,1,1
43,3,114580,6,10,3,1,1,1,0,0,0,40,1,0
30,3,633742,6,10,1,7,1,2,1,0,0,45,1,0
40,3,286370,9,4,2,10,2,1,1,0,0,40,21,1
37,4,29054,6,10,2,1,2,1,1,0,0,42,1,1
34,3,304030,2,9,2,1,2,2,1,0,0,40,1,0
41,2,143129,1,13,3,2,1,1,0,0,0,40,1,0
53,6,135105,1,13,3, ,1,1,0,0,0,50,1,0
31,3,99928,4,14,2,4,3,1,0,0,0,50,1,0
58,1,109567,10,16,2,4,2,1,1,0,0,1,1,1
38,3,155222,6,10,3,10,1,2,0,0,0,28,1,0
24,3,159567,6,10,2,10,2,1,1,0,0,40,1,0
41,5,523910,1,13,2,7,2,2,1,0,0,40,1,0
47,3,120939,6,10,2,12,2,1,1,0,0,45,1,0
41,4,130760,1,13,2,12,2,1,1,0,0,24,1,0
23,3,197387,12,3,2,8,6,1,1,0,0,40,21,0
36,3,99374,6,10,3,7,1,1,1,0,0,40,1,0
40,4,56795,4,14,1,2,1,1,0,14084,0,55,1,1
35,3,138992,4,14,2,4,6,1,1,7298,0,40,1,1
24,2,32921,2,9,1,6,1,1,1,0,0,40,1,0
26,3,397317,4,14,1,4,1,1,0,0,1876,40,1,0
19,6,170653,2,9,1, ,4,1,1,0,0,40,17,0
51,3,259323,1,13,2,2,2,1,1,0,0,50,1,1
42,5,254817,6,10,1,4,1,1,0,0,1340,40,1,0
37,1,48211,2,9,3,1,5,1,0,0,0,35,1,0
18,3,140164,3,7,1,6,4,1,0,0,0,40,1,0
36,3,128757,1,13,2,5,2,2,1,7298,0,36,1,1
35,3,36270,2,9,3,7,1,1,1,0,0,60,1,0
58,7,210563,2,9,2,6,3,1,0,15024,0,35,1,1
17,3,65368,3,7,1,6,4,1,0,0,0,12,1,0
44,5,160943,2,9,2,8,2,2,1,0,0,40,1,0
37,3,208358,2,9,2,7,2,1,1,0,0,40,1,1
35,3,153790,6,10,1,6,1,4,0,0,0,40,1,0
60,3,85815,2,9,2,7,2,3,1,0,0,40,1,0
54,7,125417,9,4,2,10,2,1,1,0,0,40,1,1
37,3,635913,1,13,1,2,1,2,1,0,0,60,1,1
50,3,313321,7,12,3,6,1,1,0,0,0,40,1,0
38,3,182609,1,13,2,6,2,1,1,0,0,50,18,0
45,3,109434,1,13,2,4,2,1,1,0,0,55,1,0
25,3,255004,13,6,1,7,1,1,1,0,0,40,1,0
31,3,197860,6,10,2,3,2,1,1,0,0,40,1,0
64,6,187656,16,2,3, ,1,1,1,0,0,40,1,0
90,3,51744,2,9,1,5,1,2,1,0,2206,40,1,0
54,3,176681,2,9,2,1,2,2,1,0,0,20,1,0
53,5,140359,15,1,1,10,1,1,0,0,0,35,1,0
18,3,243313,2,9,1,6,4,1,0,0,0,40,1,0
60,6,24215,13,6,3, ,1,4,0,0,0,10,1,0
66,2,167687,2,9,2,9,2,1,1,1409,0,50,1,0
75,3,314209,8,11,5,1,1,1,0,0,0,20,30,0
65,3,176796,2,9,3,1,1,1,0,0,0,40,1,0
35,3,538583,3,7,6,8,1,2,1,3674,0,40,1,0
41,3,130408,2,9,3,6,5,2,0,0,0,38,1,0
25,3,159732,6,10,1,1,1,1,1,0,0,42,1,0
33,3,110978,6,10,3,7,6,4,0,0,0,40,1,0
28,3,76714,11,15,1,4,1,1,1,0,0,55,1,1
59,1,268700,2,9,2,5,2,1,1,0,0,40,1,0
40,1,170525,6,10,1,1,1,1,0,0,0,38,1,0
41,3,180138,1,13,2,2,2,1,1,0,0,50,14,1
38,5,115076,4,14,2,2,2,1,1,0,0,70,1,1
23,3,115458,2,9,1,8,4,1,1,0,0,40,1,0
40,3,347890,1,13,2,4,2,1,1,0,0,40,1,1
41,2,196001,2,9,2,5,3,1,0,0,0,20,1,0
24,1,273905,7,12,2,11,2,1,1,0,0,50,1,0
20,6,119156,6,10,1, ,4,1,1,0,0,20,1,0
38,3,179488,6,10,3,7,1,1,1,0,1741,40,1,0
56,3,203580,2,9,2,1,2,1,1,0,0,35, ,0
58,3,236596,2,9,2,1,2,1,1,0,0,45,1,1
32,3,183916,2,9,1,5,1,1,0,0,0,34,1,0
40,3,207578,7,12,2,12,2,1,1,0,1977,60,1,1
45,3,153141,2,9,2,1,2,1,1,0,0,40, ,0
41,3,112763,11,15,2,4,3,1,0,0,0,40,1,1
42,3,390781,1,13,2,1,3,2,0,0,0,40,1,0
59,5,171328,13,6,5,5,5,2,0,0,0,30,1,0
19,5,27382,6,10,1,1,4,1,1,0,0,40,1,0
58,3,259014,6,10,1,8,1,1,1,0,0,20,1,0
42,2,303044,2,9,2,9,2,3,1,0,0,40,2,1
20,3,117789,2,9,1,5,4,1,0,0,0,40,1,0
32,3,172579,2,9,6,5,1,1,0,0,0,30,1,0
45,3,187666,8,11,5,2,1,1,0,0,0,45,1,0
50,3,204518,9,4,3,7,1,1,1,0,0,40,1,0
36,3,150042,1,13,3,4,4,1,0,0,0,40,1,0
45,3,98092,2,9,2,6,2,1,1,0,0,60,1,0
17,3,245918,3,7,1,5,4,1,1,0,0,12,1,0
59,3,146013,6,10,2,6,2,1,1,4064,0,40,1,0
26,3,378322,3,7,2,7,2,1,1,0,0,40,1,0
37,7,257295,6,10,2,2,2,3,1,0,0,75,35,1
19,6,218956,6,10,1, ,4,1,1,0,0,24,5,0
64,3,21174,2,9,2,2,2,1,1,0,0,40,1,1
33,3,185480,1,13,1,4,1,1,0,0,0,45,1,0
33,3,222205,2,9,2,7,3,1,0,0,0,40,1,1
61,3,69867,2,9,2,2,2,1,1,0,0,40,1,1
17,3,191260,5,5,1,5,4,1,1,1055,0,24,1,0
50,2,30653,4,14,2,9,2,1,1,2407,0,98,1,0
27,5,209109,4,14,1,4,4,1,1,0,0,35,1,0
30,3,70377,2,9,3,4,4,1,0,0,0,40,1,0
43,3,477983,2,9,2,3,2,2,1,0,0,40,1,0
44,3,170924,6,10,2,7,2,1,1,7298,0,40,1,1
35,3,190174,6,10,1,2,1,1,0,0,0,40,1,0
25,3,193787,6,10,1,12,4,1,0,0,0,40,1,0
24,3,279472,6,10,2,10,3,1,0,7298,0,48,1,1
22,3,34918,1,13,1,4,1,1,0,0,0,15,6,0
42,5,97688,6,10,2,7,2,1,1,5178,0,40,1,1
34,3,175413,7,12,3,6,5,2,0,0,0,45,1,0
60,3,173960,1,13,3,4,1,1,0,0,0,42,1,0
21,3,205759,2,9,1,3,4,1,1,0,0,40,1,0
57,4,425161,4,14,2,6,2,1,1,15024,0,40,1,1
41,3,220531,11,15,2,4,2,1,1,0,0,60,1,1
50,3,176609,6,10,3,5,1,1,1,0,0,45,1,0
25,3,371987,1,13,1,2,1,1,0,0,0,40,1,0
50,3,193884,9,4,2,7,2,1,1,0,0,40,27,0
36,3,200352,1,13,2,4,2,1,1,0,0,45,1,0
31,3,127595,2,9,3,4,1,1,0,0,0,40,1,0
29,5,220419,1,13,1,11,1,1,1,0,0,56,1,0
21,3,231931,6,10,1,6,4,1,1,0,0,45,1,0
27,3,248402,1,13,1,12,5,2,0,0,0,40,1,0
65,3,111095,2,9,2,8,2,1,1,0,0,16,1,0
37,7,57424,1,13,3,6,1,1,0,0,0,60,1,0
39,6,157443,4,14,2, ,3,3,0,3464,0,40, ,0
24,3,278130,2,9,1,7,4,1,1,0,0,40,1,0
38,3,169469,2,9,3,6,1,1,1,0,0,80,1,0
48,3,146268,1,13,2,1,2,1,1,7688,0,40,1,1
21,3,153718,6,10,1,5,1,3,0,0,0,25,1,0
31,3,217460,2,9,2,8,2,1,1,0,0,45,1,1
55,3,238638,2,9,2,6,2,1,1,4386,0,40,1,1
24,3,303296,6,10,2,1,3,3,0,0,0,40,26,0
43,3,173321,2,9,3,1,1,1,0,0,0,40,1,0
26,3,193945,7,12,1,12,1,1,1,0,0,45,1,0
46,3,83082,7,12,1,4,1,1,0,0,0,33,1,0
35,3,193815,7,12,2,1,2,1,1,0,0,40,1,1
41,7,34987,6,10,2,9,2,1,1,0,0,54,1,1
26,3,59306,1,13,1,6,1,1,1,0,0,40,1,0
34,3,142897,4,14,2,2,2,3,1,7298,0,35,28,1
19,6,860348,6,10,1, ,4,2,0,0,0,25,1,0
36,2,205607,1,13,3,4,1,2,0,0,0,40,1,1
22,3,199698,6,10,1,6,4,1,1,0,0,15,1,0
24,3,191954,6,10,1,10,1,1,1,0,0,40,1,0
77,2,138714,6,10,2,6,2,1,1,0,0,40,1,0
22,3,399087,12,3,2,10,6,1,0,0,0,40,21,0
29,3,423158,6,10,1,12,1,1,0,0,0,40,1,0
62,3,159841,2,9,5,5,1,1,0,0,0,24,1,0
39,2,174308,2,9,2,2,2,1,1,0,0,40,1,0
43,3,50356,6,10,2,7,2,1,1,0,1485,50,1,0
35,3,186110,2,9,3,8,1,1,1,0,0,45,1,0
29,3,200381,3,7,1,2,1,1,0,0,0,40,1,0
76,2,174309,4,14,2,7,2,1,1,0,0,10,1,0
63,2,78383,2,9,2,9,2,1,1,0,0,45,1,0
23,6,211601,8,11,1, ,4,2,0,0,0,15,1,0
43,3,187728,6,10,2,4,3,1,0,0,1887,50,1,1
58,2,321171,2,9,2,3,2,1,1,0,0,40,1,0
66,3,127921,2,9,1,8,1,1,1,2050,0,55,1,0
41,3,206565,6,10,1,7,1,2,1,0,0,45,1,0
26,3,224563,1,13,1,1,1,1,1,0,0,40,1,0
47,3,178686,8,11,1,5,1,1,1,0,0,40,1,0
55,5,98545,13,6,2,1,2,1,1,0,0,40,1,0
53,3,242606,2,9,2,8,2,1,1,0,0,40,1,0
17,3,270942,12,3,1,5,6,1,1,0,0,48,21,0
30,3,94235,2,9,1,7,6,1,1,0,0,40,1,0
49,3,71195,4,14,1,4,1,1,1,0,0,60,1,0
19,3,104112,2,9,1,6,5,2,1,0,0,30,29,0
45,3,261192,2,9,2,5,2,2,1,0,0,40,1,0
26,3,94936,7,12,1,6,1,1,1,0,0,40,1,0
38,3,296478,8,11,2,7,2,1,1,7298,0,40,1,1
36,1,119272,2,9,2,11,2,1,1,7298,0,40,1,1
33,3,85043,2,9,1,9,1,1,1,0,0,20,1,0
22,1,293364,6,10,1,11,4,2,0,0,0,40,1,0
43,2,241895,1,13,1,6,1,1,1,0,0,42,1,0
67,6,36135,3,7,2, ,2,1,1,0,0,8,1,0
30,6,151989,8,11,3, ,5,1,0,0,0,40,1,0
56,3,101128,7,12,4,5,1,1,1,0,0,25,14,0
31,3,156464,1,13,1,4,4,1,1,0,0,25,1,0
33,3,117963,1,13,2,2,2,1,1,0,0,40,1,1
26,3,192262,2,9,2,5,2,1,1,0,0,40,1,0
33,3,111363,1,13,2,2,2,1,1,0,0,40,1,1
46,5,329752,3,7,2,8,2,1,1,0,0,30,1,0
59,6,372020,1,13,2, ,2,1,1,0,0,40,1,1
38,4,95432,2,9,2,1,2,1,1,0,0,40,1,1
65,3,161400,3,7,5,5,5,4,1,0,0,40,1,0
40,3,96129,8,11,2,12,2,1,1,0,0,40,1,1
42,3,111949,2,9,2,1,3,1,0,0,0,35,1,0
26,2,117125,5,5,2,7,2,1,1,0,0,40,22,0
36,3,348022,13,6,2,5,3,1,0,0,0,24,1,0
62,3,270092,4,14,2,4,2,1,1,0,0,40,1,1
43,3,180609,1,13,2,8,2,1,1,0,0,45,1,0
43,3,174575,1,13,3,2,1,1,1,0,1564,45,1,1
22,3,410439,2,9,4,6,1,1,1,0,0,55,1,0
28,3,92262,2,9,2,7,2,1,1,0,0,40,1,0
56,2,183081,6,10,2,6,2,1,1,0,0,45,1,0
22,3,362589,7,12,1,6,1,1,0,0,0,15,1,0
57,3,212448,1,13,3,2,1,1,0,0,0,45,1,1
39,3,481060,2,9,3,6,5,1,0,0,0,40,1,0
26,4,185885,6,10,1,1,5,1,0,0,0,15,1,0
17,3,89821,3,7,1,5,4,1,1,0,0,10,1,0
40,1,184018,8,11,2,10,2,1,1,0,0,38,1,1
45,3,256649,2,9,2,10,2,2,1,0,0,40,1,0
44,3,160323,2,9,1,7,1,2,1,0,0,40,1,0
20,5,350845,6,10,1,1,4,1,0,0,0,10,1,0
33,3,267404,2,9,2,7,3,1,0,0,0,40,1,0
23,3,35633,6,10,1,6,1,1,1,0,0,40,1,0
46,2,80914,4,14,3,2,1,1,1,0,0,30,1,0
38,3,172927,2,9,2,6,2,1,1,0,0,50,1,0
54,3,174319,2,9,3,8,1,1,1,0,0,40,1,0
46,3,214955,12,3,3,7,1,1,0,0,2339,45,1,0
25,3,344991,6,10,2,7,2,1,1,0,0,40,1,0
46,3,108699,6,10,3,6,1,1,0,0,0,40,1,0
36,5,117312,6,10,2,8,3,1,0,0,0,40,1,0
23,3,396099,2,9,1,5,1,1,0,0,0,25,1,0
29,3,134152,2,9,6,10,1,1,1,0,0,40,1,0
44,3,162028,6,10,2,1,3,1,0,0,2415,6,1,1
19,3,25429,6,10,1,1,4,1,0,0,0,16,1,0
19,3,232392,2,9,1,5,6,1,0,0,0,40,1,0
35,3,220098,2,9,2,5,3,1,0,0,0,40,1,1
27,3,301302,1,13,1,7,1,1,1,0,0,50,1,0
46,2,277946,7,12,6,7,1,1,1,0,0,40,1,0
34,"













",98101,1,13,2,2,2,1,1,7688,0,45, ,1
34,1,196164,2,9,1,5,1,1,0,0,0,35,1,0
44,1,115562,6,10,2,12,2,1,1,0,0,40,1,0
45,1,96975,6,10,3,3,5,1,0,0,0,40,1,0
20, ,137300,2,9,1, ,6,1,0,0,0,35,1,0
25,1,86872,1,13,2,2,2,1,1,0,0,55,1,1
52,3,132178,1,13,2,2,2,1,1,0,0,50,1,1
20,1,416103,6,10,1,3,4,1,1,0,0,40,1,0
28,1,108574,6,10,1,5,1,1,0,0,0,40,1,0
50,6,288353,1,13,2,11,2,1,1,0,0,40,1,1
34,1,227689,8,11,3,12,1,1,0,0,0,64,1,0
28,1,166481,9,4,2,3,2,4,1,0,2179,40,4,0
41,1,445382,4,14,2,2,2,1,1,0,1977,65,1,1
28,1,110145,2,9,2,1,2,1,1,0,0,40,1,0
46,2,317253,2,9,2,7,2,1,1,0,0,25,1,0
28, ,123147,6,10,2, ,3,1,0,0,1887,40,1,1
32,1,364657,6,10,2,2,2,1,1,0,0,50,1,0
41,5,42346,6,10,3,5,1,2,0,0,0,24,1,0
24,1,241951,2,9,1,3,5,2,0,0,0,40,1,0
33,1,118500,6,10,3,2,5,1,0,0,0,40,1,0
46,1,188386,10,16,2,2,2,1,1,15024,0,60,1,1
31,6,1033222,6,10,2,10,2,1,1,0,0,40,1,0
35,1,92440,14,8,3,7,1,1,1,0,0,50,1,1
52,1,190762,16,2,2,10,2,1,1,0,0,40,21,0
30,1,426017,3,7,1,5,4,1,0,0,0,19,1,0
34,5,243867,3,7,6,10,1,2,1,0,0,40,1,0
34,6,240283,2,9,3,8,5,1,0,0,0,40,1,0
20,1,61777,6,10,2,6,2,1,1,0,0,30,1,0
17,1,175024,3,7,1,3,4,1,1,2176,0,18,1,0
32,6,92003,1,13,2,2,3,1,0,0,0,40,1,1
29,1,188401,2,9,3,9,1,1,1,0,0,40,1,0
33,1,228528,13,6,1,7,5,1,0,0,0,35,1,0
25,1,133373,2,9,2,8,2,1,1,0,0,60,1,0
36,4,255191,4,14,1,4,1,1,1,0,1408,40,1,0
23,1,204653,2,9,1,3,1,1,1,0,0,72,25,0
63,3,222289,2,9,2,2,2,1,1,0,0,40,1,1
47,5,287480,4,14,2,4,2,1,1,0,0,40,1,0
80, ,107762,2,9,5, ,1,1,1,0,0,24,1,0
17, ,202521,3,7,1, ,4,1,1,0,0,40,1,0
40,2,204116,1,13,4,4,1,1,0,2174,0,40,1,0
30,1,29662,7,12,2,5,3,1,0,0,0,25,1,1
27,1,116358,6,10,1,7,4,3,1,0,1980,40,16,0
33,1,208405,4,14,2,4,2,1,1,0,0,50,1,1
34,5,284843,2,9,1,9,1,2,1,594,0,60,1,0
34,5,117018,6,10,1,11,1,1,0,0,0,40,1,0
23,1,81281,6,10,2,1,2,1,1,0,0,40,1,0
42,5,340148,6,10,2,1,3,1,0,0,0,40,1,0
29,1,363425,1,13,1,4,1,1,1,0,0,40,1,0
45,1,45857,2,9,3,1,1,1,0,0,0,28,1,0
24,4,191073,2,9,1,14,4,1,1,0,0,40,1,0
